Species,Binomial_name,Egg_length_min_um,Egg_length_max_um,Egg_length_avg_um,Egg_width_min_um,Egg_width_max_um,Egg_width_avg_um,Elongation_ratio,Egg_Description,membrane,Polar Prolongation?,Fibrils?,Int_habitat_terr?,Int_hist,Def_habitat_terr?,Def_host,Class,Order,Family
C. conspectus,Centrorhynchus conspectus,60,78,69,21,26,23.5,2.94,,,0,0,0,"? Paratenic hosts = water snake, water frog, and salamanders…",2,bird,Palaeacanthocephala,Polymorphida,Centrorhynchidae
C. milvus,Centrorhynchus milvus,,,50,,,20,2.5,,,0,0,1,? Shrews and mice are paratenic hosts,2,bird,Palaeacanthocephala,Polymorphida,Centrorhynchidae
C. australe,Corynosoma australe,92,115,103.5,27,42,34.5,3,-,,0,0,0,amphipod,1,mammal- seal,Palaeacanthocephala,Polymorphida,Polymorphidae
E. truttae,Echinorhynchus truttae,110,140,125,23,27,25,5,-,3,0,0.5,0,amphipod,0,fish,Palaeacanthocephala,Echinorhynchida ,Echinorhynchidae
L. thecatus,Leptorhynchoides thecatus,65,110,87.5,15,30,22.5,3.888888889,"blunt end, spindle shaped",,0,0,0,amphipod,0,fish,Palaeacanthocephala,Echinorhynchida ,Rhadinorhynchidae
P. obtusus,Polymorphus obtusus,60,80,70,20,24,22,3.181818182,-,,0,0,0,amphipod,1,waterfowl,Palaeacanthocephala,Polymorphida,Polymorphidae
A. anguillae,Acanthocephalus anguillae,,,68,,,9.7,7.01,,,0,0,0,aq_isopod,0,fish,Palaeacanthocephala,Echinorhynchida ,Echinorhynchidae
A. dirus,Acanthocephalus dirus,90,108,99,12,15,13.5,7.33,-,4,0,0,0,aq_isopod,0,fish,Palaeacanthocephala,Echinorhynchida ,Echinorhynchidae
A. lucii,Acanthocephalus lucii,,,62.4,,,10.3,6.06,elongate fusiform,NA,0,1,0,aq_isopod,0,fish,Palaeacanthocephala,Echinorhynchida ,Echinorhynchidae
P. contortus,Polymorphus contortus,80,130,105,15,19,17,6.176470588,-,,0,0,0,aq_isopod,1,waterfowl,Palaeacanthocephala,Polymorphida,Polymorphidae
M. hirudinaceus,Macracanthorhynchus hirudinaceus,,,98,,,53,1.849056604,-,4,0,0,1,beetles,2,mammal,Archiacanthocephala,Oligacanthorhynchida,Oligacanthorhynchidae
M. ingens,Macracanthorhynchus ingens,80,108,94,48,65,56.5,1.663716814,-,3,0,0,1,beetles,2,mammal,Archiacanthocephala,Oligacanthorhynchida,Oligacanthorhynchidae
M. moniliformis,Moniliformis moniliformis,60,90,75,24,38,31,2.419354839,-,4,0,0,1,beetles,2,mammal,Archiacanthocephala,Monilifromida,Moniliformidae
B. capitatum,Bolbosoma capitatum,120,150,135,20,30,25,5.4,fusiform w/ polar prolongations,NA,1,0,0,copepod,0,mammal - whale,Palaeacanthocephala,Polymorphida,Polymorphidae
B. nipponicum,Bolbosoma nipponicum,120,186,153,27,38,32.5,4.71,,,0,0,0,copepod,1,mammal - sea lion,Palaeacanthocephala,Polymorphida,Polymorphidae
B. turbinella,Bolbosoma turbinella,,,150,,,29,5.17,outer membrane breaks up into separate filaments,3,0,1,0,copepod,0,mammal - whale,Palaeacanthocephala,Polymorphida,Polymorphidae
B. vasculosum,Bolbosoma vasculosum,80,88,84,24,26,25,3.36,,,0,0,0,copepod,0,"fish, whale or dolphin",Palaeacanthocephala,Polymorphida,Polymorphidae
P. nagpurensis,Pallisentis nagpurensis,,,92,,,48,1.916666667,oval,4,0,0,0,copepod,0,fish,Eoacanthocephala,Gyracanthocephala,Quadrigyridae
A. frassoni,Arhythmorhynchus frassoni,35,39,37,,,14,2.64,,,0,0,0,crab,1,crustacean eating birds,Palaeacanthocephala,Polymorphida,Polymorphidae
P. altmani,Polymorphus altmani,,,65,,,26,2.5,-,,0,0,0,crab,2,shorebirds,Palaeacanthocephala,Polymorphida,Polymorphidae
A. propinquus,Acanthocephaloides propinquus,50,65,57.5,12.5,17.5,15,3.83,-,,0,0,0,crustacean,0,fish,Palaeacanthocephala,Echinorhynchida ,Arthythmacanthidae
A. phalacrocoracis,Andracantha phalacrococoracis,88,96,92,42,50,46,2,oval,NA,0,0,0,crustacean,1,fish-eating birds,Palaeacanthocephala,Polymorphida,Polymorphidae
A. brevis,Arhythmorhynchus brevis,76,100,88,24,30,27,3.26,-,3,0,1,0,crustacean,1,fish-eating birds,Palaeacanthocephala,Polymorphida,Polymorphidae
E. gadi,Echinorhynchus gadi,,,76,,,13,5.846153846,-,4,0,0,0,crustacean,0,fish,Palaeacanthocephala,Echinorhynchida ,Echinorhynchidae
M. grandis,Mediorhynchus grandis,43,52,47.5,21,30,25.5,1.862745098,-,4,0,0,1,insects,2,bird,Archiacanthocephala,Gigantorhynchida,Gigantorhynchidae
C. globirostris,Centrorhynchus globirostris,45,60,52,25,28,26,2,ovoid,,0,0,1,insects,2,bird (pheasant crow),Palaeacanthocephala,Polymorphida,Centrorhynchidae
C. microcephalus,Centrorhynchus microcephalus,53,61,57,24,28,26,2.192307692,-,,0,0,1,insects,2,bird,Palaeacanthocephala,Polymorphida,Centrorhynchidae
B. balaenae,Bolbosoma balaenae,,,150,,,30,5,,,0,0,0,euphausiids (krill),0,mammal - whale,Palaeacanthocephala,Polymorphida,Polymorphidae
O. tortuosa,Oligacanthorhynchus tortuosa,83,110,98,38,50,44,2.2272,elliptoid,,1,0,1,millipedes,2,raccoon/opossum,Archiacanthocephala,Oligacanthorhynchida,Oligacanthorhynchidae
P. cylindraceus,Plagiorhynchus cylindraceus,,,77.9,,,33.1,2.35347432,-,3,0,0,1,pill bugs,2,birds,Palaeacanthocephala,Polymorphida,Plagiorhynchidae
P. (Pr.) transversus,Plagiorhynchus transversus,,,55,,,24,2.291666667,,,0,0,1,pill bugs,2,birds,Palaeacanthocephala,Polymorphida,Plagiorhynchidae
A. gravida,Andracantha gravida,68,80,74,29,40,34.5,2.14492754,,,0,0,0,,1,fish-eating birds,Palaeacanthocephala,Polymorphida,Polymorphidae
C. enhydri,Corynosoma enhydri,127,150,138.5,52,67,59.5,2.327731092,-,,0,0,0,,1,mammal - sea otters,Palaeacanthocephala,Polymorphida,Polymorphidae
C. obtuscens,Corynosoma obtuscens,68,90,79,20,28,24,3.291666667,,,0,0,0,,1,mammal - seal,Palaeacanthocephala,Polymorphida,Polymorphidae
