,taxa,shape,int_hab,def_hab,comb,combined
1,Acanthocephaloides_propinquus,3.83,0,0,0,A
2,Acanthocephalus_anguillae,7.01,0,0,0,A
3,Acanthocephalus_lucii,6.06,0,0,0,A
4,Acanthocephalus_dirus,7.33,0,0,0,A
5,Filisoma_bucerium,4.166666667,0,0,0,A
6,Pomphorhynchus_laevis,6.8,0,0,0,A
7,Pomphorhynchus_tereticollis,6.314285714,0,0,0,A
8,Rhadinorhynchus_pristis,5.588235294,0,0,0,A
9,Echinorhynchus_gadi,5.846153846,0,0,0,A
10,Echinorhynchus_truttae,5,0,0,0,A
11,Echinorhynchus_salmonis,6.057142857,0,0,0,A
12,Pomphorhynchus_bulbocolli,6.476190476,0,0,0,A
13,Andracantha_gravida,2.14492754,0,1,1,B
14,Andracantha_phalacrocoracis,2,0,1,1,B
15,Corynosoma_australe,3,0,1,1,B
16,Corynosoma_enhydri,2.327731092,0,1,1,B
17,Corynosoma_strumosum,4.736842105,0,1,1,B
18,Corynosoma_obtuscens,3.291666667,0,1,1,B
19,Corynosoma_semerme,4,0,1,1,B
20,Corynosoma_validum,3.814814815,0,1,1,B
21,Corynosoma_villosum,4.25,0,1,1,B
22,Bolbosoma_balaenae,5,0,0,0,A
23,Bolbosoma_turbinella,5.17,0,0,0,A
24,Bolbosoma_vasculosum,3.36,0,0,0,A
25,Arhythmorhynchus_frassoni,2.64,0,1,1,B
26,Polymorphus_altmani,2.5,0,2,2,C
27,Polymorphus_minutus,3,0,1,1,B
28,Polymorphus_obtusus,3.181818182,0,1,1,B
29,Polymorphus_trochus,4.676470588,0,1,1,B
30,Pseudocorynosoma_anatrium,4.930232558,0,1,1,B
31,Pseudocorynosoma_constrictum,3.75,0,1,1,B
32,Centrorhynchus_milvus,2.5,0,2,2,C
33,Arhythmorhynchus_brevis,3.26,0,1,1,B
34,Southwellina_hispida,3.117647059,0,0,0,A
35,Centrorhynchus_conspectus,2.94,0,2,2,C
36,Centrorhynchus_globirostris,2,1,2,12,D
37,Centrorhynchus_microcephalus,2.192307692,1,2,12,D
38,Serrasentis_sagittifer,3.1875,0,0,0,A
39,Plagiorhynchus_cylindraceus,2.35347432,1,2,12,D
40,Plagiorhynchus_transversus,2.291666667,1,2,12,D
41,Bolbosoma_capitatum,5.4,0,0,0,A
42,Bolbosoma_nipponicum,4.71,0,1,1,B
43,Transvena_annulospinosa,4,0,0,0,A
44,Leptorhynchoides_thecatus,3.888888889,0,0,0,A
45,Koronacantha_mexicana,4.6,0,0,0,A
46,Koronacantha_pectinaria,3.825,0,0,0,A
47,Floridosentis_mugilis,2,0,0,0,A
48,Neoechinorhynchus_crassus,2.5,0,0,0,A
49,Neoechinorhynchus_cylindratus,2.777777778,0,0,0,A
50,Neoechinorhynchus_pseudemydis,2.325,0,1,1,B
51,Neoechinorhynchus_saginatus,2.5,0,0,0,A
52,Neoechinorhynchus_tumidus,1.914285714,0,0,0,A
53,Pallisentis_nagpurensis,1.916666667,0,0,0,A
54,Pallisentis_celatus,2.765957447,0,0,0,A
55,Macracanthorhynchus_hirudinaceus,1.849056604,1,2,12,D
56,Macracanthorhynchus_ingens,1.663716814,1,2,12,D
57,Moniliformis_moniliformis,2.419354839,1,2,12,D
58,Mediorhynchus_grandis,1.862745098,1,2,12,D
59,Oligacanthorhynchus_tortuosa,2.2272,1,2,12,D
